Vehicle Mode,FTA Region 1,FTA Region 2,FTA Region 3,FTA Region 4,FTA Region 5,FTA Region 6,FTA Region 7,FTA Region 8,FTA Region 9,FTA Region 10
Fixed-route,"397,940","616,043","636,943","637,937","996,249","257,472","235,575","924,616","777,792","816,718"
Demand-response,"709,062","133,489","643,216","5,760,547","4,725,820","2,785,314","2,534,788","1,102,644","484,239","616,577"
Commuter bus,"63,748","14,333","11,562",0,"1,439","76,930",0,"140,929","151,695","113,905"
Vanpool,0,0,956,"13,690",0,"56,921","3,066","10,368",0,"81,505"
Ferryboat,"14,834",0,588,294,"18,988",0,0,0,"7,925","8,189"
Demand-response taxi,"4,870",0,0,"4,539","60,129",0,60,"4,311","60,355","4,042"
Bus rapit transit,0,0,0,0,0,0,0,"73,278",0,0
Aerial tramway,0,0,0,0,0,0,0,"345,793",0,0
Total,"1,190,454","763,865","1,293,265","6,417,007","5,802,625","3,176,637","2,773,489","2,601,939","1,482,006","1,640,936"
