Percentile Rank,Minimum,Maximum,Average Ridership,Avg VRM,Avg VRH,Avg UPT/VRM,Avg UPT/VRH,Avg Op Ex/UPT,Avg Op Ex/VRM,Avg Op Ex/VRH
1-10,0.0,1.9,4.4,20.1,1.1,0.22,4.01,19.91,4.38,79.83
11-20,1.9,3.6,10.3,44.2,2.7,0.23,3.76,18.34,4.28,68.86
21-30,3.6,5.7,13.5,75.5,4.5,0.18,2.99,16.84,3.02,50.36
31-40,5.7,8.1,26.2,125.0,6.8,0.21,3.83,14.61,3.07,55.97
41-50,8.1,11.3,38.6,166.6,9.7,0.23,3.99,13.87,3.22,55.40
51-60,11.3,14.9,53.5,226.7,13.3,0.24,4.03,14.44,3.41,58.22
61-70,14.9,20.7,66.7,305.3,17.7,0.22,3.77,13.67,2.99,51.60
71-80,20.7,30.9,113.6,441.8,25.3,0.26,4.49,12.72,3.27,57.15
81-90,30.9,47.7,223.1,638.9,38.2,0.35,5.83,9.64,3.37,56.25
>90,47.7,772.3,442.0,"1,734.1",95.2,0.25,4.64,11.19,2.85,51.97
Total,0.0,772.3,99.3,378.4,21.5,0.26,4.62,11.75,3.08,54.30
